iter	Logloss
0	0.6097913416
1	0.5422144884
2	0.4875010002
3	0.4437822305
4	0.4071970204
5	0.3785094956
6	0.355277336
7	0.3363646686
8	0.3208190265
9	0.3079606772
10	0.2973543922
11	0.2884701924
12	0.2809634759
13	0.2747036621
14	0.2692779085
15	0.2644223872
16	0.2604874268
17	0.257112359
18	0.2541623831
19	0.2515684859
20	0.249359319
21	0.247395714
22	0.2457113023
23	0.2442170829
24	0.2427841402
25	0.2417293463
26	0.2407062297
27	0.239895971
28	0.2391443903
29	0.238375374
30	0.2377049139
31	0.2371326464
32	0.2364807093
33	0.2360482223
34	0.2356019332
35	0.2351983219
36	0.2347523979
37	0.2343622433
38	0.2341024972
39	0.2337745343
40	0.2335025977
41	0.2332831877
42	0.2330749095
43	0.2328939096
44	0.2326661797
45	0.2325360389
46	0.2323699263
47	0.2322155671
48	0.232031988
49	0.231880445
50	0.2317828095
51	0.2316724226
52	0.2315754919
53	0.2314432133
54	0.2313192263
55	0.2312052434
56	0.2310937544
57	0.2310074795
58	0.2309417053
59	0.2308564376
60	0.2307929967
61	0.2307197823
62	0.2306579558
63	0.2306059047
64	0.2305388767
65	0.2304618977
66	0.2304100772
67	0.2303516647
68	0.2302793571
69	0.2302339895
70	0.2301720678
71	0.2301209521
72	0.2300694256
73	0.2300252511
74	0.2299631087
75	0.2299224026
76	0.2298857665
77	0.2298498485
78	0.2297950559
79	0.2297449897
80	0.2297210621
81	0.2296628661
82	0.2296270189
83	0.2295924815
84	0.2295477747
85	0.2295095948
86	0.2294765183
87	0.2294489814
88	0.2293973915
89	0.2293684722
90	0.2293392529
91	0.2293076774
92	0.2292620914
93	0.2292377259
94	0.2292104612
95	0.2291849446
96	0.2291495895
97	0.2291247378
98	0.2291035541
99	0.2290788533
100	0.2290599047
101	0.2290152658
102	0.2289920041
103	0.2289563833
104	0.2289352608
105	0.2289035287
106	0.2288832417
107	0.2288606775
108	0.2288397714
109	0.228818861
110	0.228796767
111	0.2287722941
112	0.2287630864
113	0.2287461502
114	0.2287245729
115	0.2286943777
116	0.2286744801
117	0.2286703981
118	0.2286457839
119	0.2286298381
120	0.2286096865
121	0.228592137
122	0.2285708348
123	0.2285344751
124	0.2285126651
125	0.2285115288
126	0.2284726958
127	0.2284715662
128	0.2284569574
129	0.228407271
130	0.228388741
131	0.2283741375
132	0.2283625671
133	0.2283460643
134	0.2283260236
135	0.2283090636
136	0.2282876418
137	0.2282780624
138	0.2282504062
139	0.2282284384
140	0.2282078973
141	0.2281913633
142	0.2281752915
143	0.228162727
144	0.2281412061
145	0.2281282415
146	0.2281241843
147	0.2281238105
148	0.2281227518
149	0.228116605
150	0.2281149597
151	0.2281135436
152	0.2280793336
153	0.2280631334
154	0.2280386537
155	0.2280255714
156	0.2280114054
157	0.228003978
158	0.2279867592
159	0.2279810081
160	0.2279396946
161	0.2279258276
162	0.2279073177
163	0.2278907973
164	0.2278880121
165	0.2278622427
166	0.2278521176
167	0.2278380844
168	0.22782953
169	0.2278158939
170	0.2277881764
171	0.2277867635
172	0.2277729738
173	0.2277459933
174	0.2277303263
175	0.2277269732
176	0.2277254412
177	0.227725066
178	0.2277087878
179	0.2277025013
180	0.2276926111
181	0.2276768977
182	0.2276681605
183	0.2276538786
184	0.2276454004
185	0.2276226085
186	0.2276116099
187	0.2275992292
188	0.2275746309
189	0.227557265
190	0.2275470461
191	0.2275365215
192	0.2275314253
193	0.2275222975
194	0.227511963
195	0.2275109218
196	0.2275013053
197	0.2275013048
198	0.2274853106
199	0.2274828173
200	0.2274476594
201	0.2274255974
202	0.2274118353
203	0.2274027695
204	0.2273869399
205	0.227371987
206	0.2273716368
207	0.2273512406
208	0.2273405497
209	0.2273239519
210	0.2273144338
211	0.2273077247
212	0.2272887675
213	0.2272809779
214	0.2272605883
215	0.2272465461
216	0.2272402341
217	0.2272382473
218	0.2272320288
219	0.2272185873
220	0.227218352
221	0.227217455
222	0.2272061022
223	0.2271904912
224	0.2271681169
225	0.2271600326
226	0.2271504215
227	0.2271303862
228	0.2271219731
229	0.2271086139
230	0.2270937832
231	0.227083177
232	0.2270766216
233	0.2270700119
234	0.2270615586
235	0.2270605918
236	0.2270562601
237	0.2270466639
238	0.2270373661
239	0.2270144031
240	0.2270139213
241	0.2269943126
242	0.2269786611
243	0.2269693192
244	0.2269536276
245	0.2269494637
246	0.2269334686
247	0.2269314008
248	0.2269283303
249	0.2269150991
250	0.226907947
251	0.2268896917
252	0.2268681513
253	0.2268566799
254	0.2268463297
255	0.226835421
256	0.2268223682
257	0.2268216684
258	0.2268073754
259	0.2267817584
260	0.2267628359
261	0.2267531994
262	0.2267419686
263	0.2267249875
264	0.2267084263
265	0.2267026879
266	0.2266826931
267	0.2266531343
268	0.2266408361
269	0.226628882
270	0.2266189222
271	0.2266038264
272	0.2265908776
273	0.2265782052
274	0.2265684331
275	0.2265435079
276	0.2265283902
277	0.2265136112
278	0.2264964221
279	0.226482519
280	0.2264664802
281	0.2264521195
282	0.2264364494
283	0.2264279647
284	0.2264102014
285	0.2263830151
286	0.2263658295
287	0.2263514962
288	0.2263418434
289	0.2263308042
290	0.2263156733
291	0.2262967959
292	0.2262878392
293	0.2262699836
294	0.2262541949
295	0.2262368773
296	0.2262229047
297	0.2262079446
298	0.2261912159
299	0.2261779779
300	0.2261601639
301	0.2261376401
302	0.2261208778
303	0.2261017961
304	0.2260818585
305	0.2260611174
306	0.2260465369
307	0.2260351812
308	0.2260226227
309	0.2260102834
310	0.2259964453
311	0.2259840297
312	0.2259716304
313	0.2259591963
314	0.225943603
315	0.2259348757
316	0.225917979
317	0.2259054164
318	0.2258936085
319	0.2258816232
320	0.2258699246
321	0.2258541738
322	0.2258398841
323	0.2258275937
324	0.2258173592
325	0.22580441
326	0.225793086
327	0.2257792135
328	0.2257726054
329	0.2257559094
330	0.2257483419
331	0.225718063
332	0.2257056071
333	0.2256886052
334	0.2256732727
335	0.2256547069
336	0.2256413967
337	0.2256321537
338	0.2256256273
339	0.2256192742
340	0.2256081691
341	0.225600063
342	0.2255779592
343	0.2255665641
344	0.2255575414
345	0.2255510863
346	0.2255434637
347	0.2255336201
348	0.2255134661
349	0.2254842031
350	0.2254733929
351	0.2254493795
352	0.2254358001
353	0.2254257329
354	0.2254153199
355	0.2254062913
356	0.2253989678
357	0.2253908098
358	0.2253841194
359	0.2253664157
360	0.2253505203
361	0.2253381188
362	0.2253245321
363	0.2253129925
364	0.2252977007
365	0.2252712412
366	0.2252608588
367	0.2252487775
368	0.2252349285
369	0.2252258289
370	0.2252158988
371	0.2252056694
372	0.2251905364
373	0.2251737946
374	0.2251612699
375	0.2251455832
376	0.2251376327
377	0.2251216045
378	0.2251152909
379	0.2251065696
380	0.225104454
381	0.2250926364
382	0.225081063
383	0.2250630142
384	0.2250507412
385	0.2250390989
386	0.2250282872
387	0.2250183806
388	0.2250029207
389	0.2249924141
390	0.2249695967
391	0.224965661
392	0.2249517053
393	0.2249356159
394	0.2249249287
395	0.2249147137
396	0.2248951405
397	0.2248777032
398	0.224870643
399	0.2248597403
400	0.2248422759
401	0.2248215968
402	0.2248080131
403	0.2247929305
404	0.2247854791
405	0.224765164
406	0.2247557941
407	0.2247468145
408	0.224736116
409	0.224729246
410	0.2247101918
411	0.2247010523
412	0.2246922456
413	0.2246785024
414	0.2246675587
415	0.2246472639
416	0.2246454837
417	0.2246351466
418	0.2246249738
419	0.2246098584
420	0.2246021639
421	0.2245897606
422	0.2245749614
423	0.2245585115
424	0.2245407825
425	0.2245346135
426	0.2245213295
427	0.2245062376
428	0.2244959586
429	0.2244862868
430	0.2244778424
431	0.2244669463
432	0.2244574258
433	0.2244420103
434	0.2244270651
435	0.2244195831
436	0.2244111076
437	0.2243981704
438	0.2243879842
439	0.224374944
440	0.2243599849
441	0.2243503832
442	0.2243397347
443	0.2243257178
444	0.2243122701
445	0.2242985375
446	0.2242832914
447	0.2242753142
448	0.2242635157
449	0.2242557781
450	0.2242471404
451	0.2242394499
452	0.2242264955
453	0.2242112155
454	0.2242029421
455	0.2241844048
456	0.2241649746
457	0.2241490785
458	0.2241434995
459	0.2241315951
460	0.2241195881
461	0.2241044442
462	0.2240909735
463	0.2240815303
464	0.2240806368
465	0.2240705346
466	0.2240543284
467	0.2240419736
468	0.2240294899
469	0.2240146624
470	0.2240020498
471	0.2239949109
472	0.2239868847
473	0.223974679
474	0.2239570409
475	0.2239421844
476	0.2239285604
477	0.223916642
478	0.2239066872
479	0.2238970509
480	0.2238895825
481	0.2238806973
482	0.2238676048
483	0.2238663202
484	0.2238580403
485	0.2238522208
486	0.2238430014
487	0.2238413924
488	0.2238292773
489	0.223818813
490	0.2238126752
491	0.2238071379
492	0.2238022548
493	0.2238007223
494	0.2237959256
495	0.2237850604
496	0.2237744105
497	0.2237609777
498	0.2237492691
499	0.2237403865
500	0.2237260562
501	0.2237124302
502	0.2237000562
503	0.2236891398
504	0.223678064
505	0.2236639402
506	0.2236549605
507	0.2236412416
508	0.223628845
509	0.223616732
510	0.2236014189
511	0.2235877091
512	0.2235727579
513	0.2235570916
514	0.2235456794
515	0.223539842
516	0.2235301123
517	0.2235176794
518	0.2235073044
519	0.2234966958
520	0.2234803535
521	0.223467291
522	0.2234617968
523	0.2234476764
524	0.2234304062
525	0.2234195025
526	0.2234072117
527	0.223399033
528	0.2233827872
529	0.2233720405
530	0.2233569698
531	0.2233431512
532	0.2233366295
533	0.2233257059
534	0.2233150377
535	0.2233047465
536	0.2232896763
537	0.2232814776
538	0.2232691513
539	0.2232599426
540	0.2232475871
541	0.2232459829
542	0.2232374927
543	0.2232282364
544	0.2232203287
545	0.2232148206
546	0.2232090783
547	0.2232019354
548	0.2231943862
549	0.2231849508
550	0.2231782701
551	0.2231700653
552	0.223161858
553	0.2231512336
554	0.2231447782
555	0.223133178
556	0.2231191877
557	0.2231080237
558	0.2230977152
559	0.2230878774
560	0.2230727133
561	0.2230642735
562	0.2230513925
563	0.2230362743
564	0.223030247
565	0.2230190764
566	0.2230065012
567	0.2229988251
568	0.2229901492
569	0.2229821198
570	0.2229745423
571	0.2229636674
572	0.2229490493
573	0.2229420553
574	0.2229277102
575	0.222913938
576	0.2228959661
577	0.2228872204
578	0.2228724364
579	0.2228596773
580	0.2228561657
581	0.2228455372
582	0.2228383284
583	0.2228284188
584	0.2228202735
585	0.2228100037
586	0.2227964941
587	0.2227851519
588	0.2227750848
589	0.2227604249
590	0.2227511697
591	0.2227403389
592	0.2227313953
593	0.2227115424
594	0.2227031853
595	0.2226871327
596	0.2226785833
597	0.222661673
598	0.2226432617
599	0.2226339243
600	0.2226292024
601	0.2226235148
602	0.2226132928
603	0.2226068534
604	0.2225937388
605	0.2225785476
606	0.2225733255
607	0.222566947
608	0.2225535005
609	0.2225425395
610	0.2225234296
611	0.2225104982
612	0.2224945563
613	0.2224836248
614	0.2224675529
615	0.2224585796
616	0.2224422568
617	0.2224399352
618	0.2224312508
619	0.2224220391
620	0.2224169129
621	0.2224039664
622	0.222393323
623	0.2223739841
624	0.2223629023
625	0.2223534044
626	0.2223460003
627	0.2223354288
628	0.2223253023
629	0.2223131979
630	0.2223042533
631	0.2222860464
632	0.2222783482
633	0.2222639473
634	0.2222454398
635	0.2222359124
636	0.2222273536
637	0.2222189226
638	0.2222084415
639	0.2221893114
640	0.2221742512
641	0.2221701016
642	0.2221553695
643	0.222142195
644	0.2221251388
645	0.2221114431
646	0.2221047335
647	0.2220921262
648	0.2220787997
649	0.2220618273
650	0.2220543516
651	0.2220475068
652	0.2220367222
653	0.2220260969
654	0.222015541
655	0.2220076446
656	0.2219960292
657	0.2219860658
658	0.2219782603
659	0.2219753704
660	0.2219664858
661	0.2219581201
662	0.221957044
663	0.2219491167
664	0.2219455346
665	0.2219333135
666	0.2219265515
667	0.2219182222
668	0.2219073263
669	0.2218977305
670	0.2218867862
671	0.221878094
672	0.2218725461
673	0.2218595472
674	0.2218480403
675	0.221836271
676	0.2218288776
677	0.2218262621
678	0.2218133524
679	0.2218018432
680	0.2217945356
681	0.2217838148
682	0.2217712022
683	0.2217632498
684	0.2217543804
685	0.2217441202
686	0.2217353609
687	0.221723379
688	0.2217105779
689	0.2217022263
690	0.2216944817
691	0.22168554
692	0.221672078
693	0.221653896
694	0.2216447748
695	0.2216364577
696	0.2216256387
697	0.2216183354
698	0.221605296
699	0.2215928522
700	0.2215744162
701	0.2215659383
702	0.2215631336
703	0.2215498989
704	0.2215399716
705	0.2215268244
706	0.2215210115
707	0.2215029751
708	0.2214888817
709	0.2214767929
710	0.2214655687
711	0.2214612582
712	0.2214517112
713	0.2214404421
714	0.2214358823
715	0.2214255119
716	0.2214117231
717	0.2214037001
718	0.2213942823
719	0.2213833509
720	0.2213740362
721	0.2213630576
722	0.2213549843
723	0.2213396224
724	0.2213329605
725	0.2213203112
726	0.2213154444
727	0.2213107311
728	0.2212976092
729	0.221292794
730	0.2212803042
731	0.2212709948
732	0.2212586671
733	0.2212472869
734	0.2212336004
735	0.2212168096
736	0.2212047025
737	0.2211935096
738	0.2211842784
739	0.2211727565
740	0.2211584422
741	0.2211449933
742	0.2211370472
743	0.2211298051
744	0.2211195335
745	0.2211130697
746	0.2211024579
747	0.2210940812
748	0.2210861451
749	0.221079222
750	0.2210745409
751	0.2210592452
752	0.2210488301
753	0.221039568
754	0.2210243991
755	0.221011088
756	0.2209940152
757	0.2209807049
758	0.2209686321
759	0.2209611734
760	0.2209486063
761	0.2209317424
762	0.2209262972
763	0.2209181209
764	0.2208997736
765	0.2208896234
766	0.2208770591
767	0.2208626996
768	0.2208466694
769	0.2208409451
770	0.2208212854
771	0.2208134371
