iter	Passed	Remaining
0	733	1099050
1	1337	1001418
2	1903	949737
3	2601	973106
4	3192	954668
5	3838	955723
6	4423	943543
7	5090	949432
8	5689	942571
9	6275	934983
10	6863	929039
11	7562	937771
12	8130	930013
13	8811	935264
14	9385	929213
15	10005	928015
16	10648	928959
17	11242	925670
18	11892	927025
19	12603	932682
20	13226	931538
21	13808	927704
22	14478	929764
23	15165	932708
24	15774	930676
25	16416	930671
26	17076	931621
27	17719	931551
28	18400	933355
29	19006	931339
30	19597	928679
31	20241	928568
32	21045	935584
33	21659	933915
34	22252	931405
35	22903	931391
36	23548	931102
37	24146	929004
38	24951	934735
39	25661	936644
40	26338	937257
41	27064	939522
42	27797	941877
43	28546	944624
44	29352	949070
45	29974	947461
46	30663	947948
47	31390	949557
48	32177	952835
49	32896	953985
50	33651	956096
51	34341	956278
52	35047	956869
53	35836	959623
54	36612	961919
55	37383	963957
56	38137	965479
57	38838	965594
58	39571	966473
59	40225	965419
60	40900	964855
61	41618	965278
62	42380	966672
63	43069	966366
64	43808	967159
65	44587	968766
66	45310	969113
67	46089	970582
68	46813	970861
69	47563	971647
70	48285	971834
71	48978	971411
72	49692	971378
73	50363	970510
74	51022	969418
75	51682	968371
76	52420	968753
77	53137	968742
78	53875	969079
79	54679	970564
80	55148	966118
81	55889	966476
82	56627	966757
83	57364	966999
84	58052	966396
85	58737	965751
86	59469	965872
87	60187	965742
88	60944	966208
89	61614	965297
90	62271	964178
91	62970	963716
92	63674	963331
93	64358	962643
94	65068	962331
95	65785	962114
96	66540	962436
97	67209	961506
98	67940	961459
99	68559	959832
100	69254	959272
101	69957	958829
102	70592	957454
103	71234	956186
104	71931	955662
105	72627	955117
106	73345	954865
107	74063	954590
108	74890	955708
109	75580	955061
110	76264	954336
111	76963	953794
112	77574	952174
113	78213	950914
114	78785	948848
115	79501	948536
116	80282	948979
117	80572	943652
118	81271	943161
119	81918	942064
120	82590	941255
121	83232	940121
122	83844	938653
123	84576	938520
124	85347	938824
125	85623	933700
126	86306	933061
127	86587	928111
128	87261	927410
129	87986	927238
130	88666	926603
131	89386	926364
132	90002	925062
133	90751	925119
134	91407	924228
135	92079	923501
136	92798	923243
137	93399	921812
138	94228	922625
139	95010	922957
140	95794	923292
141	96566	923499
142	97302	923351
143	98073	923528
144	98958	924745
145	99946	926901
146	100412	924207
147	100950	922195
148	101322	918705
149	102139	919255
150	102499	915711
151	103017	913599
152	103797	913827
153	104563	913909
154	105365	914300
155	106047	913637
156	106721	912913
157	107168	910257
158	107837	909498
159	108465	908395
160	109203	908221
161	109937	907999
162	110665	907731
163	111348	907082
164	111696	903727
165	112409	903337
166	112967	901708
167	113625	900890
168	114192	899348
169	114863	898634
170	115561	898137
171	115854	894505
172	116495	893583
173	117219	893290
174	117888	892586
175	118548	891810
176	118758	887668
177	118940	883370
178	119643	882953
179	119919	879410
180	120695	879544
